ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense
NWN,2024-06-30,quarterly,1733160000.0,81717000.0,1574751000.0,65192000.0,1667968000.0,19311000.0
NWN,2024-09-30,quarterly,1814008000.0,182478000.0,1555000000.0,35047000.0,1778961000.0,19060000.0
NWN,2024-12-31,quarterly,1958006000.0,202737000.0,1679355000.0,38490000.0,1919516000.0,21190000.0
NWN,2025-03-31,quarterly,2390897000.0,120600000.0,2193071000.0,100050000.0,2290847000.0,29395000.0
NWN,2025-06-30,quarterly,2464822000.0,301423000.0,2086650000.0,102579000.0,2362243000.0,30491000.0
NWN,2025-09-30,quarterly,2518216000.0,313750000.0,2128101000.0,35830000.0,2482386000.0,30435000.0
NWN,2025-12-31,quarterly,2758018000.0,335844000.0,2272202000.0,41077000.0,2716941000.0,21190000.0
NX,2018-01-31,quarterly,236135000.0,20773000.0,215362000.0,13757000.0,222378000.0,2441000.0
NX,2018-04-30,quarterly,227024000.0,16167000.0,193973000.0,10098000.0,216926000.0,2502000.0
NX,2018-07-31,quarterly,209774000.0,16120000.0,177309000.0,12400000.0,197374000.0,2641000.0
NX,2018-10-31,quarterly,210556000.0,1224000.0,193812000.0,29003000.0,181553000.0,3516000.0
NX,2019-01-31,quarterly,230684000.0,1134000.0,229550000.0,17456000.0,213228000.0,2442000.0
NX,2019-04-30,quarterly,225825000.0,1082000.0,207581000.0,20262000.0,205563000.0,2602000.0
NX,2019-07-31,quarterly,191980000.0,871000.0,191109000.0,10651000.0,181329000.0,2570000.0
NX,2019-10-31,quarterly,157160000.0,746000.0,156414000.0,30868000.0,126292000.0,2029000.0
NX,2020-01-31,quarterly,209455000.0,7239000.0,166711000.0,23114000.0,186341000.0,1582000.0
NX,2020-04-30,quarterly,272601000.0,7353000.0,229697000.0,80252000.0,192349000.0,1563000.0
NX,2020-07-31,quarterly,202799000.0,7997000.0,137425000.0,41073000.0,161726000.0,1165000.0
NX,2020-10-31,quarterly,169752000.0,8151000.0,116728000.0,51621000.0,118131000.0,935000.0
NX,2021-01-31,quarterly,166618000.0,8442000.0,112090000.0,43426000.0,123192000.0,751000.0
NX,2021-04-30,quarterly,145155000.0,8971000.0,87195000.0,49258000.0,95897000.0,640000.0
NX,2021-07-31,quarterly,128919000.0,9109000.0,72439000.0,43663000.0,85256000.0,597000.0
NX,2021-10-31,quarterly,106503000.0,9042000.0,52094000.0,40061000.0,66442000.0,542000.0
NX,2022-01-31,quarterly,129240000.0,9134000.0,76691000.0,31719000.0,97521000.0,523000.0
NX,2022-04-30,quarterly,126124000.0,9041000.0,75714000.0,38900000.0,87224000.0,602000.0
NX,2022-07-31,quarterly,103268000.0,9042000.0,55458000.0,50030000.0,53238000.0,724000.0
NX,2022-10-31,quarterly,87687000.0,8773000.0,29628000.0,55093000.0,32594000.0,710000.0
