ticker,fy,period_end,bucket,year,amount,tag,filed,form
OGN,2025,2025-12-31,y4,2029.0,10000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-24,10-K
OGN,2025,2025-12-31,y5,2030.0,21000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-24,10-K
OGN,2025,2025-12-31,yGT5,2031.0,5071000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-24,10-K
OI,2025,2025-12-31,y1,2026.0,66000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-12,10-K
OI,2025,2025-12-31,y2,2027.0,693000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-12,10-K
OI,2025,2025-12-31,y3,2028.0,781000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-12,10-K
OI,2025,2025-12-31,y4,2029.0,657000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-12,10-K
OI,2025,2025-12-31,y5,2030.0,1086000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-12,10-K
OI,2025,2025-12-31,yGT5,2031.0,1620000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-12,10-K
PENN,2025,2025-12-31,y1,2026.0,145000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-26,10-K
PENN,2025,2025-12-31,y2,2027.0,1407000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-26,10-K
PENN,2025,2025-12-31,y3,2028.0,10800000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-26,10-K
PENN,2025,2025-12-31,y4,2029.0,1335800000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-26,10-K
PENN,2025,2025-12-31,y5,2030.0,800000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-26,10-K
PENN,2025,2025-12-31,yGT5,2031.0,4700000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-26,10-K
RHP,2025,2025-12-31,y1,2026.0,7242000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-24,10-K
RHP,2025,2025-12-31,y2,2027.0,707242000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-24,10-K
RHP,2025,2025-12-31,y3,2028.0,407242000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-24,10-K
RHP,2025,2025-12-31,y4,2029.0,607242000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-24,10-K
RHP,2025,2025-12-31,y5,2030.0,282423000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-24,10-K
RHP,2025,2025-12-31,yGT5,2031.0,2028735000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-24,10-K
RITM,2025,2025-12-31,y1,2026.0,16436995000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-19,10-K
RITM,2025,2025-12-31,y2,2027.0,4387098000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-19,10-K
RITM,2025,2025-12-31,y3,2028.0,1824870000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-19,10-K
RITM,2025,2025-12-31,y4,2029.0,4795827000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-19,10-K
RITM,2025,2025-12-31,y5,2030.0,2457637000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-19,10-K
RUN,2025,2025-12-31,y1,2026.0,294093000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-26,10-K
RUN,2025,2025-12-31,y2,2027.0,1401577000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-26,10-K
RUN,2025,2025-12-31,y3,2028.0,2543717000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-26,10-K
RUN,2025,2025-12-31,y4,2029.0,1353503000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-26,10-K
RUN,2025,2025-12-31,y5,2030.0,1869997000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-26,10-K
RUN,2025,2025-12-31,yGT5,2031.0,7396340000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-26,10-K
SABR,2025,2025-12-31,y1,2026.0,247665000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-18,10-K
SABR,2025,2025-12-31,y2,2027.0,206500000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-18,10-K
SABR,2025,2025-12-31,y3,2028.0,4500000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-18,10-K
SABR,2025,2025-12-31,y4,2029.0,2278565000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-18,10-K
SABR,2025,2025-12-31,y5,2030.0,1794802000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-18,10-K
SAFE,2025,2025-12-31,y1,2026.0,0.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-12,10-K
SAFE,2025,2025-12-31,y2,2027.0,10000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-12,10-K
SAFE,2025,2025-12-31,y3,2028.0,79193000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-12,10-K
SAFE,2025,2025-12-31,y4,2029.0,780000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-12,10-K
SAFE,2025,2025-12-31,y5,2030.0,400000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-12,10-K
SAFE,2025,2025-12-31,yGT5,2031.0,3371398000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-12,10-K
SAH,2016,2016-12-31,y1,2017.0,43127000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2017-02-27,10-K
SAH,2016,2016-12-31,y2,2018.0,55986000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2017-02-27,10-K
SAH,2016,2016-12-31,y3,2019.0,19605000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2017-02-27,10-K
SAH,2016,2016-12-31,y4,2020.0,51523000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2017-02-27,10-K
SAH,2016,2016-12-31,y5,2021.0,45434000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2017-02-27,10-K
SAH,2016,2016-12-31,yGT5,2022.0,681589000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2017-02-27,10-K
SLG,2025,2025-12-31,y1,2026.0,655148000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-17,10-K
SLG,2025,2025-12-31,y2,2027.0,2569277000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-17,10-K
SLG,2025,2025-12-31,y3,2028.0,284550000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-17,10-K
SLG,2025,2025-12-31,y4,2029.0,177000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-17,10-K
SLG,2025,2025-12-31,y5,2030.0,0.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-17,10-K
SLG,2025,2025-12-31,yGT5,2031.0,358524000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-17,10-K
TRN,2025,2025-12-31,y1,2026.0,1096100000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-19,10-K
TRN,2025,2025-12-31,y2,2027.0,680400000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-19,10-K
TRN,2025,2025-12-31,y3,2028.0,1679800000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-19,10-K
TRN,2025,2025-12-31,y4,2029.0,259000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-19,10-K
TRN,2025,2025-12-31,y5,2030.0,938000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-19,10-K
TRN,2025,2025-12-31,yGT5,2031.0,813200000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-19,10-K
TWO,2025,2025-12-31,y1,2026.0,7598256000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-17,10-K
TWO,2025,2025-12-31,y2,2027.0,567731000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-17,10-K
TWO,2025,2025-12-31,y3,2028.0,0.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-17,10-K
TWO,2025,2025-12-31,y4,2029.0,280140000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-17,10-K
TWO,2025,2025-12-31,y5,2030.0,111055000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-17,10-K
VAC,2025,2025-12-31,y1,2026.0,583000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-03-02,10-K
VAC,2025,2025-12-31,y2,2027.0,583000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-03-02,10-K
VAC,2025,2025-12-31,y3,2028.0,358000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-03-02,10-K
VAC,2025,2025-12-31,y4,2029.0,508000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-03-02,10-K
VAC,2025,2025-12-31,y5,2030.0,8000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-03-02,10-K
VAC,2025,2025-12-31,yGT5,2031.0,1323000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-03-02,10-K
VSAT,2025,2025-03-31,y1,2026.0,503825000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2025-05-27,10-K
VSAT,2025,2025-03-31,y2,2027.0,334084000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2025-05-27,10-K
VSAT,2025,2025-03-31,y3,2028.0,631682000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2025-05-27,10-K
VSAT,2025,2025-03-31,y4,2029.0,1085049000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2025-05-27,10-K
VSAT,2025,2025-03-31,y5,2030.0,3223016000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2025-05-27,10-K
VSAT,2025,2025-03-31,yGT5,2031.0,1426619000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2025-05-27,10-K
